unitstotal,year built,construction status,number of buildings,occupancy,landuse,bldgdepth,lottype,bsmtcode,lotarea_log,bldgarea_log,numfloors_log,assessland_log,largest property use type - gross floor area (ft²)_log,property gfa - self-reported (ft²)_log,postal code_log,comarea_log,resarea_log,builtfar_log,residfar_log,commfar_log,facilfar_log,site energy use (kbtu)_log
21.0,2020,existing,1.0,100.0,4.0,91.83,0.0,5.0,8.605204068738951,10.623739069288082,2.5649493574615367,12.59387603296523,10.909015515680611,10.909015515680611,9.325096609274372,8.240385115516334,10.526989863390185,2.143589361503588,1.9487632180377197,1.4816045409242156,2.0149030205422647,15.293813427091093
27.0,2020,existing,1.0,85.0,4.0,80.0,3.0,1.0,8.9947928972836,10.308985993422082,1.9459101490553132,11.417526281205168,10.308985993422082,10.308985993422082,9.325096609274372,8.160803920954665,10.184937747111391,1.551808799597464,1.9487632180377197,1.4816045409242156,2.0149030205422647,14.788849075337065
24.0,2020,existing,1.0,100.0,3.0,67.0,0.0,5.0,8.805225202632306,10.004101822568721,1.9459101490553132,12.612064281664791,10.040026916674956,10.23731343350214,9.325096609274372,7.333676395657684,9.932415087609309,1.463255402256019,1.3862943611198906,9.999500033329732e-05,1.3862943611198906,11.835770268476539
17.0,1960,existing,1.0,100.0,5.0,86.0,5.0,0.0,10.274223180123194,10.867825315381769,1.0986122886681098,13.641336916569022,10.146472946063877,10.839600519357369,9.315060682746585,10.867825315381769,9.999500033329732e-05,1.0331844833456545,1.3862943611198906,1.3862943611198906,1.3862943611198906,14.187823075234865
147.0,2020,existing,1.0,90.0,4.0,0.0,0.0,5.0,10.807968826450786,11.899493135973929,1.791759469228055,14.531251076006964,12.301387370778713,12.301387370778713,9.314880551250107,10.42670606623208,11.639064602075191,1.3812818192963463,1.3862943611198906,1.3862943611198906,1.3862943611198906,15.734484006918722
20.0,2000,existing,1.0,100.0,2.0,100.0,5.0,0.0,9.210440366976517,10.434145214930487,1.6094379124341003,11.952798440998814,10.501801939324901,10.501801939324901,9.325096609274372,8.294299608857235,10.308985993422082,1.4816045409242156,1.0986122886681098,9.999500033329732e-05,1.0986122886681098,14.573171962491617
47.0,1960,existing,1.0,100.0,3.0,0.0,5.0,5.0,9.210440366976517,10.50042665029748,1.9459101490553132,12.173074134266598,10.50042665029748,10.50042665029748,9.315150736328528,9.999500033329732e-05,10.50042665029748,1.5325568680981427,0.8109302162163288,9.999500033329732e-05,1.0986122886681098,15.320598244226218
59.0,1960,existing,1.0,100.0,3.0,117.0,3.0,0.0,9.549736900114642,10.904725866572983,1.9459101490553132,12.305696236459484,10.904505387765616,10.904505387765616,9.324739912284679,9.999500033329732e-05,10.904725866572983,1.5851452198650557,0.5596157879354227,9.999500033329732e-05,1.0986122886681098,15.314071880247223
56.0,1940,existing,1.0,100.0,2.0,105.0,3.0,0.0,9.798182590890704,10.524520925120765,1.6094379124341003,12.553382372403275,10.524520925120765,10.524520925120765,9.339436945310593,9.999500033329732e-05,10.524520925120765,1.1216775615991057,0.5596157879354227,9.999500033329732e-05,1.0986122886681098,15.506030545434777
32.0,2020,existing,1.0,100.0,3.0,0.0,0.0,5.0,9.350189267092581,10.122864017281094,1.6094379124341003,12.634270723805884,10.181157167204903,10.181157167204903,9.325096609274372,7.428927194802272,10.052898445872824,1.1537315878891892,1.0986122886681098,9.999500033329732e-05,1.0986122886681098,14.375310614635456
